start	end	text
0	2000	Hello
2000	12000	最近我身邊的人都對這個AI Agent挺好奇的
12000	21000	然後甚至有人花了幾千塊錢去買課啊之類的
21000	29000	然後也有朋友問我究竟怎麼要使用AI Agent啊之類的
29000	30000	之类的
30760	34640	然后所以我觉得我可以稍微分享一下
34640	36360	我是怎么使用的
36360	40480	就是作为一个普普通通的程序员
40480	43640	我是怎么样用AI agent的
43640	49040	其实我真正用AI agent也是从OpenClaw
49040	50760	火了之后
50760	54760	我才真正开始搭自己的AI agent
54760	58560	嗯
58560	62200	其实作为普通人
64940	67400	把agent用起来是很快的
68140	73240	而且只需要给agent一些基础的能力
73740	75240	很基础的能力
76040	79380	他就能够帮你提升不少效率
80320	81740	这是我这么感觉的
82460	85220	然后呢这期视频不是一个教程
85220	88040	他只是
88040	92060	我只是想要通过这个视频讲一下我是怎么使用的
92060	92940	所以呢
92940	94860	就是这样的
94860	95680	我一般
95680	98120	其实现在AI agent
98120	99920	我认为啊就是
99920	102120	比较主流的
102120	103860	就三个
103860	106280	就是说
106280	108540	当然AI agent有很多类型啊
108540	109940	例如腾讯的Workbody
109940	111520	或者Manus
111520	113800	那是另外一类AI agent
113800	116280	甚至Claw Desktop
116280	119620	他们是另外一类
119620	123040	就是有完整的交互界面的AI agent
123040	124980	但是我今天聊的呢
124980	126400	或者是我平时使用的呢
126400	127620	是没有的
127620	128640	没有交互界面的
128640	131620	它不是腾讯Workbody那种
131620	133020	它
133020	135400	我先把那个
135400	137040	先翻一下墙
137040	138560	然后
138560	142020	现在主流的
142020	143020	我认为就三个
143020	144260	一个就是claw
144260	145460	对吧
145460	147260	也是claw
147260	149580	然后呢
149580	153020	一个是clawdex
153020	155020	skip
155020	156020	先不更新
156020	159380	然后呢
159380	160580	还有一个就是
160580	164580	opencode
164580	167780	其实就是这三个
167780	168460	我觉得
168460	172020	但你用任何一个是没有任何关系的
172020	173660	唯一的影响是什么呢
173660	174520	Claw
174520	176160	大家都知道
176160	177040	可能都听过
177040	178200	它很容易封号
178200	181100	所以它也不太容易
181100	183060	在国内不是那么容易
183060	184940	能够订阅的了
184940	187180	然后Codex呢
187180	189520	稍微好一点
189520	191080	但它也是个国外的模型
191080	193000	然后你要买它
193000	194360	可能稍微也是麻烦一点
194360	196640	然后至于OpenCode什么呢
196640	198060	OpenCode就是一个
198060	200960	你可以接任何大模型
200960	202960	基本像国产的那种
202960	204960	质谱啊
204960	206960	minimax啊
206960	208960	kimi啊
208960	210960	dipsick啊都可以
210960	212960	当然像这些大模型
212960	214960	他们也提供了
214960	216960	claw code
216960	218960	适配的end point
218960	220960	的
220960	222960	接口
222960	224960	甚至是codex适配的接口
224960	226960	都ok
226960	228960	所以而且这是其实没有太大关系的
228960	231960	就是如果你不是用它来写代码
231960	234960	这个问题其实不大的
234960	236960	然后呢
236960	239960	OK 这是第一个前提
239960	243960	就是你要有这么一个东西在你的命令行里面启动
243960	245960	然后第二个东西呢
245960	248960	就是
248960	252960	你需要有一个稳定的地方
252960	256960	存一些东西
256960	261960	然后这个东西可能是你的一些
261960	264960	这就很个人化了
264960	269960	就例如在这里我放了user.md
269960	272960	然后列了一些我的主要目标
272960	274960	然后我是一个什么人
274960	276960	我现在处于一个什么状态
276960	278960	但可能你不需要这些
278960	284960	然后还有就是我的股票持仓
284960	288760	就例如你想让你的agent做什么
288760	291160	你想他成为一个什么样的agent
291160	294660	你就给他什么样的讯息就好了
294660	298960	然后还有我用我的agent来管理我的代办事项
298960	300960	所以我还有一个todo
300960	303160	然后另外呢
303160	306660	还有一个叫bring dumb的一个文件夹
306660	311160	里面放了很多
311160	319400	我让我的agent去记录一些我稍重机事的一些想法
320520	321960	然后还有一些
323960	327200	还有像什么美国签证材料
327200	328520	就这种各种东西
328520	334240	然后还有一些调研的报告什么的
334920	338120	然后就是像我让这个agent帮我去做一些什么研究
338120	340040	然后我让他把这东西存起来
340040	342040	就这么一个地方
342040	345040	ok 这是第二点
345040	347040	就是说你要有一个地方让他存东西
347040	351040	然后第三点
351040	355040	就是你让这个agent有联网的能力
355040	357040	然后这个联网的能力呢
357040	359040	不是说简单的
359040	362040	就是他可以用
362040	364040	他可以网上搜点东西
364040	368040	而是说让他能够使用你的浏览器
368040	372040	就OK了
372040	375040	我举个例子
375040	379040	我现在用任求一个都无所谓
379040	382040	我用claw code
382040	386040	把这关掉
386040	389040	claw code例如我跟大家说
389040	392040	我一般喜欢用语音转文字
392040	395040	我就跟他说
395040	398760	去小红书搜一下
398760	402480	看现在美国签证
402480	404600	缅面签续签
404600	407000	有什么注意事项
407000	409040	还有什么坑是大家遇到的
410040	416840	然后当然现在其实包括
416840	421160	包括那个小红书自己也有他的AI
421160	424760	你也不一定要这样去问
424760	425480	你的agent
425480	427380	我只做一个演示
